Internship ID,Internship Title,Company Name,Location,Skills Required,Duration (Months),Application Deadline,Eligibility,Internship Description,Stipend (INR/Month)
19,Frontend Developer Intern,Capgemini,Bangalore,"CSS, Data Analysis",3,2024-07-23,Undergraduate,Work on developing and maintaining software applications.,104331
20,Cybersecurity Intern,Capgemini,Gurgaon,"Cloud Computing, JavaScript, SQL",7,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,104497
21,AI Intern,Capgemini,Noida,"JavaScript, Data Analysis, Cloud Computing, Machine Learning, Java",11,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,41334
22,Web Developer Intern,Infosys,Kolkata,"Data Analysis, Cloud Computing, Machine Learning",12,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",101343
23,Frontend Developer Intern,L&T Infotech,Pune,"Java, Data Analysis, JavaScript, CSS, HTML",1,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,105493
24,Data Scientist Intern,Persistent Systems,Noida,"HTML, Git, JavaScript, C++",10,2024-07-23,Postgraduate,Assist in database management and optimization tasks.,33117
25,Data Scientist Intern,L&T Infotech,Hyderabad,"CSS, Java, Cloud Computing, JavaScript",12,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",27722
26,Machine Learning Intern,Wipro,Noida,"Cloud Computing, JavaScript, CSS",12,2024-07-23,Undergraduate,Assist in analyzing and interpreting complex data to aid decision-making.,48472
27,DevOps Intern,Wipro,Bangalore,"Cloud Computing, Java, CSS, Cybersecurity",3,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,94620
28,Cybersecurity Intern,Cognizant,Mumbai,"Cybersecurity, CSS, JavaScript",2,2024-07-23,Any,Contribute to backend development and integration tasks.,54863
29,Data Scientist Intern,L&T Infotech,Ahmedabad,"SQL, Cloud Computing, JavaScript, Data Analysis",1,2024-07-23,Undergraduate,Assist in analyzing and interpreting complex data to aid decision-making.,44073
30,Machine Learning Intern,Capgemini,Chennai,"Data Analysis, C++, Cybersecurity, Cloud Computing",8,2024-07-23,Any,Work on developing and maintaining software applications.,25398
31,Database Intern,Wipro,Mumbai,"Cloud Computing, Python",1,2024-07-23,Undergraduate,Help in identifying and mitigating security threats and vulnerabilities.,65487
32,Machine Learning Intern,Persistent Systems,Mumbai,"JavaScript, Python, Git",4,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,92130
33,AI Intern,Tech Mahindra,Gurgaon,"Data Analysis, Java, Python, C++",9,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,94952
34,Backend Developer Intern,Mindtree,Hyderabad,"Data Analysis, DevOps, SQL",4,2024-07-23,Undergraduate,Assist in analyzing and interpreting complex data to aid decision-making.,115287
35,Cybersecurity Intern,Infosys,Gurgaon,"Python, DevOps, Data Analysis, SQL",12,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,26062
36,DevOps Intern,Cognizant,Delhi,"Data Analysis, Git, DevOps, Cloud Computing",8,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,83664
37,DevOps Intern,Cognizant,Bangalore,"C++, Cloud Computing, Python, HTML",12,2024-07-23,Undergraduate,Assist in analyzing and interpreting complex data to aid decision-making.,114872
38,Cybersecurity Intern,Wipro,Chennai,"JavaScript, CSS",6,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,115868
39,Frontend Developer Intern,Cognizant,Bangalore,Machine Learning,6,2024-07-23,Any,Assist in analyzing and interpreting complex data to aid decision-making.,120931
40,Software Developer Intern,L&T Infotech,Hyderabad,"Git, JavaScript, Data Analysis, C++, SQL",7,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,110141
41,Cybersecurity Intern,Mindtree,Delhi,"HTML, Python",9,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,89557
42,Software Developer Intern,Tata Consultancy Services,Delhi,"Cloud Computing, CSS, Git, DevOps",6,2024-07-23,Postgraduate,Contribute to backend development and integration tasks.,48804
43,Data Scientist Intern,HCL Technologies,Kolkata,"Cloud Computing, SQL, HTML, Data Analysis, Python",6,2024-07-23,Undergraduate,Help in identifying and mitigating security threats and vulnerabilities.,105908
44,Database Intern,Tech Mahindra,Pune,"DevOps, JavaScript, HTML, SQL",10,2024-07-23,Any,Support the frontend development team with user interface design and implementation.,35192
45,Software Developer Intern,Wipro,Pune,"Python, HTML, Data Analysis",4,2024-07-23,Undergraduate,Support AI model development and integration into applications.,61337
46,AI Intern,Persistent Systems,Delhi,"DevOps, SQL, Python, Cloud Computing",2,2024-07-23,Any,Support AI model development and integration into applications.,89391
47,DevOps Intern,Cognizant,Ahmedabad,"C++, JavaScript, HTML, Data Analysis, Machine Learning",5,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",124168
48,Machine Learning Intern,Tech Mahindra,Kolkata,"Cloud Computing, JavaScript",5,2024-07-23,Any,Support AI model development and integration into applications.,71546
49,Backend Developer Intern,Capgemini,Mumbai,"Data Analysis, Cybersecurity, Git, CSS",11,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,55693
50,Machine Learning Intern,Tata Consultancy Services,Gurgaon,"Data Analysis, DevOps, JavaScript, Python",3,2024-07-23,Postgraduate,Support AI model development and integration into applications.,97276
51,Data Scientist Intern,Tech Mahindra,Chennai,"C++, Cybersecurity, Cloud Computing, CSS, HTML",1,2024-07-23,Postgraduate,Support AI model development and integration into applications.,106406
52,Backend Developer Intern,Mindtree,Kolkata,"HTML, Git",4,2024-07-23,Any,Support the frontend development team with user interface design and implementation.,30212
53,AI Intern,Capgemini,Noida,"C++, DevOps, Data Analysis",6,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,103584
54,Backend Developer Intern,Tata Consultancy Services,Bangalore,"Cloud Computing, Git",5,2024-07-23,Postgraduate,Contribute to backend development and integration tasks.,108730
55,Backend Developer Intern,Capgemini,Hyderabad,"DevOps, JavaScript",11,2024-07-23,Any,Work on developing and maintaining software applications.,40338
56,Web Developer Intern,Tech Mahindra,Bangalore,"Cloud Computing, Git, Python, C++",8,2024-07-23,Any,Participate in machine learning model development and evaluation.,29133
57,Cybersecurity Intern,Capgemini,Hyderabad,"Machine Learning, HTML",3,2024-07-23,Undergraduate,Support AI model development and integration into applications.,113295
58,DevOps Intern,HCL Technologies,Delhi,"Java, HTML, DevOps, JavaScript",3,2024-07-23,Postgraduate,Contribute to backend development and integration tasks.,123670
59,Data Scientist Intern,Cognizant,Pune,"Cloud Computing, SQL",2,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",84494
60,Data Scientist Intern,Wipro,Mumbai,"JavaScript, Cloud Computing, CSS",12,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,52124
61,Machine Learning Intern,Wipro,Gurgaon,"Data Analysis, Cloud Computing",9,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,81340
62,Cybersecurity Intern,Infosys,Hyderabad,"Python, Java",12,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",81257
63,DevOps Intern,Persistent Systems,Gurgaon,"HTML, Data Analysis",11,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",103750
64,Data Scientist Intern,Cognizant,Mumbai,"HTML, JavaScript, Python",10,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,87316
65,Frontend Developer Intern,Wipro,Hyderabad,"Data Analysis, CSS, Java",9,2024-07-23,Any,Work on developing and maintaining software applications.,46729
66,Cybersecurity Intern,Tata Consultancy Services,Hyderabad,"HTML, CSS, Data Analysis, Machine Learning",2,2024-07-23,Undergraduate,Help in identifying and mitigating security threats and vulnerabilities.,92711
67,Frontend Developer Intern,Capgemini,Gurgaon,"Cybersecurity, HTML, Java, Machine Learning, Data Analysis",3,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,95367
68,Data Scientist Intern,Persistent Systems,Ahmedabad,Python,7,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,49883
69,Cybersecurity Intern,Capgemini,Mumbai,"DevOps, C++, Data Analysis",7,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,34279
70,Machine Learning Intern,L&T Infotech,Bangalore,"Cloud Computing, CSS, Cybersecurity, Data Analysis",7,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",93956
71,Cybersecurity Intern,Infosys,Pune,"Java, C++",1,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,79099
72,Backend Developer Intern,Infosys,Hyderabad,"Cybersecurity, Java, Data Analysis, HTML",8,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,34528
73,AI Intern,Capgemini,Chennai,"CSS, DevOps, JavaScript, Python, Data Analysis",11,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",110058
74,Cybersecurity Intern,Mindtree,Kolkata,"C++, CSS",10,2024-07-23,Postgraduate,Help in identifying and mitigating security threats and vulnerabilities.,105908
75,AI Intern,Mindtree,Chennai,CSS,5,2024-07-23,Any,Work on developing and maintaining software applications.,118192
76,Frontend Developer Intern,Wipro,Chennai,"Machine Learning, Data Analysis, DevOps",7,2024-07-23,Any,Work on developing and maintaining software applications.,101592
77,DevOps Intern,Wipro,Kolkata,"Machine Learning, DevOps, Java, Cybersecurity",2,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,48887
78,Data Scientist Intern,Wipro,Mumbai,"Machine Learning, SQL, DevOps, CSS, Cloud Computing",3,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,42330
79,AI Intern,HCL Technologies,Chennai,"JavaScript, Python, Java, DevOps",4,2024-07-23,Any,Assist in analyzing and interpreting complex data to aid decision-making.,50879
80,Database Intern,Wipro,Kolkata,"SQL, C++, Data Analysis",9,2024-07-23,Undergraduate,Assist in database management and optimization tasks.,93790
81,Machine Learning Intern,HCL Technologies,Ahmedabad,C++,6,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,44488
82,AI Intern,Tata Consultancy Services,Bangalore,"CSS, Java",7,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,84577
83,Backend Developer Intern,Mindtree,Gurgaon,DevOps,10,2024-07-23,Undergraduate,Participate in machine learning model development and evaluation.,62665
84,Frontend Developer Intern,Wipro,Noida,"HTML, SQL",11,2024-07-23,Any,Support the frontend development team with user interface design and implementation.,26892
85,Web Developer Intern,L&T Infotech,Bangalore,"SQL, C++",3,2024-07-23,Postgraduate,Contribute to backend development and integration tasks.,88229
86,Backend Developer Intern,Cognizant,Hyderabad,"SQL, Cloud Computing, Python, Machine Learning",12,2024-07-23,Undergraduate,Work on developing and maintaining software applications.,29133
87,Web Developer Intern,Persistent Systems,Hyderabad,"C++, DevOps, SQL",9,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,42496
88,Software Developer Intern,Tech Mahindra,Mumbai,"Java, Data Analysis, CSS, Cybersecurity, HTML",5,2024-07-23,Undergraduate,Participate in machine learning model development and evaluation.,109892
89,AI Intern,Cognizant,Hyderabad,"SQL, Git, Data Analysis, Cloud Computing, Python",6,2024-07-23,Any,Contribute to backend development and integration tasks.,115204
90,Frontend Developer Intern,Infosys,Noida,"Cybersecurity, Java, HTML, C++, DevOps",10,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,87233
91,DevOps Intern,Capgemini,Pune,Java,7,2024-07-23,Undergraduate,Support the frontend development team with user interface design and implementation.,111054
92,Data Scientist Intern,Tech Mahindra,Mumbai,"CSS, Java, Data Analysis",9,2024-07-23,Any,Support AI model development and integration into applications.,84743
93,Data Scientist Intern,Wipro,Noida,"Java, SQL, HTML",7,2024-07-23,Postgraduate,Assist in database management and optimization tasks.,32536
94,Web Developer Intern,Cognizant,Pune,"Java, Cloud Computing, C++, Git, JavaScript",5,2024-07-23,Any,Support AI model development and integration into applications.,116947
95,Web Developer Intern,Mindtree,Kolkata,"SQL, JavaScript, Cloud Computing",6,2024-07-23,Any,Participate in machine learning model development and evaluation.,96778
96,Software Developer Intern,Cognizant,Ahmedabad,"Python, DevOps",11,2024-07-23,Postgraduate,Help in identifying and mitigating security threats and vulnerabilities.,71297
97,Data Scientist Intern,Mindtree,Gurgaon,"Python, Git, DevOps, Machine Learning, Data Analysis",10,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,86818
98,Cybersecurity Intern,Wipro,Gurgaon,"C++, SQL",1,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,98438
99,Database Intern,Capgemini,Delhi,"Data Analysis, Java",7,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,41666
100,Cybersecurity Intern,Mindtree,Chennai,"JavaScript, DevOps, HTML",1,2024-07-23,Undergraduate,Support AI model development and integration into applications.,40836
101,Frontend Developer Intern,Tech Mahindra,Noida,Git,5,2024-07-23,Undergraduate,Support AI model development and integration into applications.,51958
102,Cybersecurity Intern,HCL Technologies,Bangalore,"SQL, Cybersecurity, Git, HTML",10,2024-07-23,Postgraduate,Support AI model development and integration into applications.,83913
103,Backend Developer Intern,Capgemini,Ahmedabad,"SQL, Git, Cybersecurity, JavaScript",8,2024-07-23,Undergraduate,Help in identifying and mitigating security threats and vulnerabilities.,83830
104,Backend Developer Intern,Cognizant,Noida,"SQL, Data Analysis, C++, CSS, Cybersecurity",12,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,95948
105,AI Intern,Capgemini,Ahmedabad,"C++, JavaScript, DevOps",7,2024-07-23,Any,Support the frontend development team with user interface design and implementation.,44405
106,Database Intern,L&T Infotech,Pune,"Machine Learning, Git, Java, SQL, CSS",12,2024-07-23,Any,Support AI model development and integration into applications.,98023
107,AI Intern,Mindtree,Mumbai,"HTML, Python, Cloud Computing, Git, SQL",4,2024-07-23,Postgraduate,Support AI model development and integration into applications.,44571
108,Frontend Developer Intern,Tech Mahindra,Delhi,"SQL, HTML, Data Analysis, CSS",3,2024-07-23,Postgraduate,"Work on deployment, monitoring, and maintenance of systems.",119354
109,DevOps Intern,Capgemini,Gurgaon,CSS,2,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,37184
110,DevOps Intern,Capgemini,Delhi,C++,12,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,76194
111,Machine Learning Intern,Infosys,Kolkata,Data Analysis,4,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",53867
112,Data Scientist Intern,Wipro,Kolkata,"Cloud Computing, Python, DevOps, Cybersecurity, C++",7,2024-07-23,Postgraduate,Contribute to backend development and integration tasks.,114955
113,Machine Learning Intern,Wipro,Mumbai,"HTML, Git, CSS, Python, Machine Learning",3,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,90968
114,AI Intern,Tata Consultancy Services,Delhi,"Java, C++, HTML, Python",5,2024-07-23,Undergraduate,Participate in machine learning model development and evaluation.,50713
115,Data Scientist Intern,Persistent Systems,Mumbai,"Python, Cloud Computing, CSS",10,2024-07-23,Any,Assist in database management and optimization tasks.,94952
116,DevOps Intern,Persistent Systems,Chennai,Data Analysis,9,2024-07-23,Any,Support AI model development and integration into applications.,63827
117,AI Intern,Mindtree,Chennai,Cybersecurity,12,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,73787
118,Machine Learning Intern,Infosys,Pune,"Cybersecurity, Java, Data Analysis, Machine Learning, Python",8,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,54697
119,Backend Developer Intern,HCL Technologies,Kolkata,"Data Analysis, Cloud Computing",12,2024-07-23,Any,Assist in database management and optimization tasks.,45484
120,Backend Developer Intern,Persistent Systems,Delhi,"HTML, Java, DevOps, JavaScript",4,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",112631
121,Software Developer Intern,Persistent Systems,Bangalore,JavaScript,5,2024-07-23,Any,Participate in machine learning model development and evaluation.,76443
122,Frontend Developer Intern,Mindtree,Delhi,"SQL, Cloud Computing, Git, Data Analysis, HTML",5,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",111220
123,Data Scientist Intern,Infosys,Kolkata,"SQL, Python, Machine Learning, Cybersecurity",4,2024-07-23,Undergraduate,Support the frontend development team with user interface design and implementation.,30212
124,Backend Developer Intern,Tech Mahindra,Ahmedabad,"Java, SQL, JavaScript, C++",4,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,93624
125,Machine Learning Intern,Persistent Systems,Mumbai,"Java, SQL, DevOps, Cloud Computing",9,2024-07-23,Postgraduate,Help in identifying and mitigating security threats and vulnerabilities.,97608
126,Web Developer Intern,Wipro,Pune,"C++, Cybersecurity",6,2024-07-23,Undergraduate,Assist in analyzing and interpreting complex data to aid decision-making.,43741
127,Machine Learning Intern,Capgemini,Bangalore,"C++, HTML, Data Analysis, SQL",11,2024-07-23,Undergraduate,Participate in machine learning model development and evaluation.,63910
128,Database Intern,Infosys,Hyderabad,"Python, Machine Learning, Cybersecurity, C++, JavaScript",4,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,51958
129,Software Developer Intern,Tata Consultancy Services,Kolkata,"DevOps, Data Analysis, JavaScript, Python",1,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,84162
130,Data Scientist Intern,Tata Consultancy Services,Gurgaon,"C++, Data Analysis, Git",12,2024-07-23,Postgraduate,Support AI model development and integration into applications.,38927
131,Web Developer Intern,Infosys,Chennai,"Data Analysis, DevOps, C++, CSS",10,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,48887
132,Backend Developer Intern,Cognizant,Pune,"SQL, Java, HTML, Machine Learning, Data Analysis",5,2024-07-23,Undergraduate,Participate in machine learning model development and evaluation.,64823
133,Software Developer Intern,L&T Infotech,Noida,"CSS, DevOps",5,2024-07-23,Undergraduate,Assist in database management and optimization tasks.,108813
134,AI Intern,Cognizant,Ahmedabad,"SQL, Machine Learning, C++",10,2024-07-23,Any,Participate in machine learning model development and evaluation.,81589
135,Cybersecurity Intern,Infosys,Delhi,"HTML, C++, CSS",8,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,119520
136,AI Intern,L&T Infotech,Gurgaon,"SQL, Java, HTML",9,2024-07-23,Any,Contribute to backend development and integration tasks.,100347
137,Data Scientist Intern,Cognizant,Chennai,"SQL, Java, Cloud Computing",5,2024-07-23,Any,Work on developing and maintaining software applications.,73123
138,Software Developer Intern,Persistent Systems,Bangalore,"Machine Learning, JavaScript, CSS, SQL",9,2024-07-23,Any,Support AI model development and integration into applications.,101758
139,Data Scientist Intern,Tech Mahindra,Kolkata,"Cloud Computing, Git, SQL, HTML",7,2024-07-23,Undergraduate,Help in identifying and mitigating security threats and vulnerabilities.,73953
140,Backend Developer Intern,L&T Infotech,Noida,"CSS, C++, Java, Data Analysis, Git",7,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",101841
141,AI Intern,HCL Technologies,Kolkata,"Cybersecurity, Java, JavaScript, DevOps",6,2024-07-23,Postgraduate,Help in designing and coding new features for web applications.,28303
142,AI Intern,Wipro,Kolkata,"Cloud Computing, HTML, DevOps, Python, C++",2,2024-07-23,Any,Support AI model development and integration into applications.,27473
143,Data Scientist Intern,Mindtree,Delhi,"SQL, Python, Data Analysis, JavaScript",1,2024-07-23,Any,Assist in database management and optimization tasks.,39508
144,Database Intern,Mindtree,Bangalore,C++,12,2024-07-23,Any,Contribute to backend development and integration tasks.,107485
145,Data Scientist Intern,Infosys,Pune,"CSS, C++, DevOps, Python",3,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,70052
146,Machine Learning Intern,Mindtree,Ahmedabad,"Git, Cybersecurity, Data Analysis",6,2024-07-23,Undergraduate,Support AI model development and integration into applications.,121844
147,Data Scientist Intern,Wipro,Pune,"Python, Java, Cloud Computing, JavaScript, Machine Learning",2,2024-07-23,Postgraduate,Support the frontend development team with user interface design and implementation.,73787
148,Software Developer Intern,Tata Consultancy Services,Hyderabad,"JavaScript, DevOps",11,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,98687
149,AI Intern,Wipro,Kolkata,"C++, JavaScript, Machine Learning",2,2024-07-23,Any,Work on developing and maintaining software applications.,40504
150,Software Developer Intern,Mindtree,Chennai,"Cloud Computing, Git, SQL",4,2024-07-23,Any,Support AI model development and integration into applications.,86818
151,Backend Developer Intern,Capgemini,Hyderabad,HTML,5,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,65819
152,Web Developer Intern,Persistent Systems,Gurgaon,"Data Analysis, SQL",12,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",62997
153,Data Scientist Intern,HCL Technologies,Gurgaon,"JavaScript, Python",7,2024-07-23,Any,"Work on deployment, monitoring, and maintenance of systems.",93126
154,DevOps Intern,L&T Infotech,Noida,Git,10,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,73455
155,Backend Developer Intern,Capgemini,Ahmedabad,"HTML, DevOps, Machine Learning",8,2024-07-23,Any,Support AI model development and integration into applications.,98438
156,Software Developer Intern,Tech Mahindra,Mumbai,C++,1,2024-07-23,Postgraduate,Assist in database management and optimization tasks.,83747
157,Software Developer Intern,Tata Consultancy Services,Pune,"Cloud Computing, Data Analysis, Cybersecurity, JavaScript",11,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,82004
158,Cybersecurity Intern,Persistent Systems,Hyderabad,JavaScript,7,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,34943
159,Database Intern,Wipro,Noida,Machine Learning,1,2024-07-23,Undergraduate,Assist in database management and optimization tasks.,100845
160,AI Intern,Capgemini,Bangalore,"CSS, Java, Cloud Computing, Python",12,2024-07-23,Any,Assist in analyzing and interpreting complex data to aid decision-making.,100347
161,Data Scientist Intern,Wipro,Gurgaon,"DevOps, Machine Learning, SQL, HTML",6,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,56025
162,Frontend Developer Intern,L&T Infotech,Kolkata,"Python, C++, Git, Cybersecurity",2,2024-07-23,Any,Work on developing and maintaining software applications.,79431
163,Data Scientist Intern,Persistent Systems,Delhi,"SQL, Cybersecurity",8,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,67313
164,Backend Developer Intern,Tata Consultancy Services,Bangalore,Machine Learning,12,2024-07-23,Undergraduate,Contribute to backend development and integration tasks.,69554
165,Data Scientist Intern,Capgemini,Pune,"Java, Machine Learning, SQL, DevOps, C++",5,2024-07-23,Any,Help in designing and coding new features for web applications.,80593
166,Frontend Developer Intern,Infosys,Ahmedabad,"HTML, SQL, Data Analysis",4,2024-07-23,Undergraduate,Support AI model development and integration into applications.,92379
167,Machine Learning Intern,Persistent Systems,Mumbai,CSS,6,2024-07-23,Any,Help in identifying and mitigating security threats and vulnerabilities.,84992
168,Database Intern,Capgemini,Noida,"Java, DevOps, Data Analysis",8,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,67811
169,Web Developer Intern,Cognizant,Kolkata,"Cloud Computing, JavaScript, Java, Git, Python",7,2024-07-23,Undergraduate,Support the frontend development team with user interface design and implementation.,69388
170,Software Developer Intern,HCL Technologies,Gurgaon,"CSS, HTML, C++, JavaScript",8,2024-07-23,Undergraduate,"Work on deployment, monitoring, and maintenance of systems.",105078
171,Cybersecurity Intern,Mindtree,Mumbai,DevOps,1,2024-07-23,Undergraduate,Help in designing and coding new features for web applications.,114208
172,DevOps Intern,L&T Infotech,Hyderabad,"JavaScript, Cloud Computing, C++, SQL, HTML",5,2024-07-23,Undergraduate,Support the frontend development team with user interface design and implementation.,106240
173,Software Developer Intern,Tata Consultancy Services,Bangalore,"Machine Learning, Data Analysis, Python, Cybersecurity, SQL",6,2024-07-23,Any,Participate in machine learning model development and evaluation.,82336
174,AI Intern,L&T Infotech,Hyderabad,Data Analysis,2,2024-07-23,Any,Participate in machine learning model development and evaluation.,96197
175,Data Scientist Intern,Persistent Systems,Delhi,"Cloud Computing, HTML, Git",8,2024-07-23,Postgraduate,Contribute to backend development and integration tasks.,42828
176,Database Intern,Infosys,Noida,"HTML, Cloud Computing, Machine Learning, CSS, Data Analysis",6,2024-07-23,Any,Support the frontend development team with user interface design and implementation.,27639
177,Backend Developer Intern,Tech Mahindra,Noida,"Java, Cybersecurity",10,2024-07-23,Postgraduate,Participate in machine learning model development and evaluation.,27888
178,Frontend Developer Intern,Mindtree,Noida,"Machine Learning, Java, DevOps, JavaScript",5,2024-07-23,Postgraduate,Assist in analyzing and interpreting complex data to aid decision-making.,77854
179,Machine Learning Intern,L&T Infotech,Pune,"CSS, C++",10,2024-07-23,Postgraduate,Work on developing and maintaining software applications.,63910
180,DevOps Intern,Mindtree,Mumbai,"Machine Learning, HTML",4,2024-07-23,Any,Assist in database management and optimization tasks.,61835
